,Cutoff,TP,FP,Precision,Recall
0,-3,5304953,22291056,19.223623966784473,93.61856335791673
1,0,4804794,18486054,20.629536545856983,84.79206347553658
2,2,4097544,12447820,24.76551135411708,72.31094838650814
3,3,3862598,11128746,25.765521757088624,68.16476519003325
4,5,3388370,8777379,27.851717144583535,59.79587972316896
5,10,2353623,4753669,33.11560858903785,41.53529804055758
6,30,645486,719934,47.273805861932594,11.391141823056348
7,60,197935,168981,53.94558972625887,3.4930357230778952
