,Cutoff,TP,FP,Precision,Recall
0,0.0,3738598,17401590,17.684790693441325,100.0
1,0.2,2990704,13920717,17.684522193611052,79.99533514970051
2,0.4,2242762,10439253,17.684587189023194,59.98938639564885
3,0.6,1496564,6959613,17.697879313547954,40.03008614459217
4,0.8,748740,3481850,17.698240670922967,20.027293653931235
5,0.99,37462,174227,17.69671546466751,1.0020333825674759
