,Cutoff,TP,FP,Precision,Recall
0,-3,3676931,16533467,18.19326368535642,98.35053140241342
1,0,3424573,13671896,20.030878890839976,91.60046092144702
2,2,3065980,10634238,22.379059953644532,82.00881720901792
3,3,2874527,9355480,23.50388679254231,76.88783335357265
4,5,2491783,7191995,25.7315171826533,66.65019881784562
5,10,1668433,3766048,30.700870975535658,44.627237269158115
6,30,348839,470046,42.59926607521203,9.330743770793223
7,60,58107,53948,51.85578510552853,1.5542457359684032
