,Cutoff,TP,FP,Precision,Recall
0,0.0,138715,665295,17.252894864491736,100.0
1,0.15,138715,665293,17.252937781713616,100.0
2,0.2,138675,664274,17.270710842158095,99.97116389719929
3,0.25,137338,638818,17.694638706651755,99.00731716108568
4,0.3,134220,591119,18.504451022211683,96.75954294777061
5,0.4,116377,376228,23.624810954009806,83.89647839094546
6,0.6,58636,68433,46.145007830391364,42.270843095555634
7,0.8,23913,14261,62.64211243254571,17.238943156832352
