,Cutoff,TP,FP,Precision,Recall
0,0.0,2769937,2606945,51.51567395378957,100.0
1,0.3,2760419,2574190,51.74547937815124,99.65638207655986
2,0.4,2601353,2214318,54.01849503423303,93.91379659537382
3,0.45,2326466,1775691,56.713236475346996,83.98985247678918
4,0.47,2161387,1557717,58.11579885908004,78.03018624611317
5,0.5,1853713,1209360,60.51808102516656,66.92256899705662
6,0.6,640563,272255,70.17422969310421,23.12554401056775
7,0.8,13139,2615,83.40104100545894,0.47434291826853825
8,0.95,667,82,89.0520694259012,0.02407997004986034
