,Cutoff,TP,FP,Precision,Recall
0,0.0,170398,633615,21.193438414552997,100.0
1,0.15,136345,305699,30.844214603071187,80.01561051186047
2,0.2,106242,166755,38.916911174848074,62.349323348865596
3,0.25,82120,99214,45.28659821103599,48.19305390908344
4,0.3,63926,62362,50.619219561636896,37.51569854106269
5,0.4,39389,26236,60.02133333333333,23.11588164180331
6,0.6,16225,7380,68.73543740732896,9.521825373537249
7,0.8,6090,2513,70.78925956061839,3.5739856101597436
