,Cutoff,TP,FP,Precision,Recall
0,-3,996732,4131936,19.43451984023922,94.40743641886498
1,0,904776,3426374,20.889971485633147,85.69764258929679
2,2,772908,2308037,25.086718523050557,73.20750499395233
3,3,728806,2056380,26.16722904682129,69.03029711766784
4,5,638212,1606093,28.436954870215946,60.449507803257696
5,10,439959,853187,34.02237643699938,41.67158405610276
6,30,111942,118250,48.62983943838187,10.602807221600774
7,60,30312,24817,54.983765350360066,2.8710608395522916
