,Cutoff,TP,FP,Precision,Recall
0,0.0,1801,5465,24.786677676851088,100.0
1,0.15,1800,5363,25.12913583693983,99.94447529150472
2,0.2,1754,4871,26.475471698113207,97.39033870072183
3,0.25,1059,2225,32.247259439707676,58.800666296501944
4,0.3,578,924,38.48202396804261,32.09328151027207
5,0.4,85,49,63.43283582089552,4.719600222098834
6,0.6,1,0,100.0,0.0555247084952804
7,0.8,0,0,,0.0
